type,nom_complet,nom,code,description,couleur,notes,mnemo_produit,domaine_produit,cache,taxe,virtuel
BANK,2-IMMOBILISATIONS:27-FINANCIÈRES:276-Créances immobilisées:PEE-PERCO,PEE-PERCO,2762,Plan d'Épargne Entreprise et Retraite,,,EUR,CURRENCY,F,F,F
ASSET,2-IMMOBILISATIONS:27-FINANCIÈRES:276-Créances immobilisées:Assurance-vie,Assurance-vie,2763,Assurance-Vie,,,EUR,CURRENCY,F,F,F
ASSET,2-IMMOBILISATIONS:27-FINANCIÈRES:276-Créances immobilisées:Placements disponibles,Placements disponibles,2764,Placements disponibles,,,EUR,CURRENCY,F,F,T
BANK,2-IMMOBILISATIONS:27-FINANCIÈRES:276-Créances immobilisées:Placements disponibles:Plans d'Épargne,Plans d'Épargne,27641,Plans d'Épargne,,,EUR,CURRENCY,F,F,T
BANK,2-IMMOBILISATIONS:27-FINANCIÈRES:276-Créances immobilisées:Placements disponibles:Plans d'Épargne:PEP,PEP,27641,Plan d'Épargne Populaire,,,EUR,CURRENCY,F,F,F
BANK,2-IMMOBILISATIONS:27-FINANCIÈRES:276-Créances immobilisées:Placements disponibles:Plans d'Épargne:PEL,PEL,276412,Plan d'Épargne Logement,,,EUR,CURRENCY,F,F,F
ASSET,2-IMMOBILISATIONS:27-FINANCIÈRES:276-Créances immobilisées:Livrets,Livrets,2765,Comptes sur livrets,,(comptes à détailler),EUR,CURRENCY,F,F,F
ASSET,3-STOCKS,3-STOCKS,3,Stocks et en-cours,,,EUR,CURRENCY,F,F,T
LIABILITY,4-TIERS,4-TIERS,4,COMPTES DE TIERS,,,EUR,CURRENCY,F,F,T
LIABILITY,4-TIERS:40-FOURNISSEURS,40-FOURNISSEURS,40,Fournisseurs et comptes rattachés,,,EUR,CURRENCY,F,F,F
LIABILITY,4-TIERS:41-REVENUS À PERCEVOIR,41-REVENUS À PERCEVOIR,41,Revenus à percevoir et comptes associés,,,EUR,CURRENCY,F,F,F
LIABILITY,4-TIERS:44-ÉTAT,44-ÉTAT,44,État et collectivités publiques,,,EUR,CURRENCY,F,F,F
LIABILITY,4-TIERS:46-DIVERS,46-DIVERS,46,Débiteurs et créditeurs divers,,,EUR,CURRENCY,F,F,F
LIABILITY,4-TIERS:47-TRANSITOIRES,47-TRANSITOIRES,47,Comptes transitoires ou d'attente,,,EUR,CURRENCY,F,F,F
LIABILITY,4-TIERS:48-RÉGULARISATION,48-RÉGULARISATION,48,Comptes de régularisation,,,EUR,CURRENCY,F,F,F
BANK,5-COMPTES,5-COMPTES,5,COMPTES FINANCIERS,,,EUR,CURRENCY,F,F,T
ASSET,5-COMPTES:50-VALEURS MOBILIÈRES,50-VALEURS MOBILIÈRES,50,Valeurs mobilières de placement,,,EUR,CURRENCY,F,F,T
ASSET,5-COMPTES:50-VALEURS MOBILIÈRES:507-SICAV & FCP,507-SICAV & FCP,507,"SICAV & FCP, Bons du trésor, Bons de caisse à court-terme",,,EUR,CURRENCY,F,F,F
BANK,5-COMPTES:51-BANQUES,51-BANQUES,51,"Banques, établissements financiers et assimilés",,,EUR,CURRENCY,F,F,T
BANK,5-COMPTES:51-BANQUES:512-Banques,512-Banques,512,Banques,,,EUR,CURRENCY,F,F,T
BANK,5-COMPTES:51-BANQUES:512-Banques:Banque 1,Banque 1,5121,Banque 1,,,EUR,CURRENCY,F,F,F
CREDIT,5-COMPTES:51-BANQUES:512-Banques:Carte Bleue,Carte Bleue,5122,Carte Bleue rattaché à la banque 1,,,EUR,CURRENCY,F,F,F
ASSET,5-COMPTES:51-BANQUES:512-Banques:Paypal,Paypal,5125, ,,,EUR,CURRENCY,F,F,F
BANK,5-COMPTES:51-BANQUES:514-Banque postale,514-Banque postale,514,La Banque postale,,,EUR,CURRENCY,F,F,T
BANK,5-COMPTES:51-BANQUES:514-Banque postale:CCP,CCP,5141,,,,EUR,CURRENCY,F,F,F
BANK,5-COMPTES:51-BANQUES:514-Banque postale:Carte bleue CCP,Carte bleue CCP,5142,Carte bleue liée au CCP,,,EUR,CURRENCY,F,F,F
CASH,5-COMPTES:53-CAISSE,53-CAISSE,53,Caisse,,,EUR,CURRENCY,F,F,T
CASH,5-COMPTES:53-CAISSE:531 Caisse en €,531 Caisse en €,531,Caisse en Euros,,,EUR,CURRENCY,F,F,T
CASH,5-COMPTES:53-CAISSE:531 Caisse en €:Espèces €,Espèces €,5311,Espèces en EUR,,,EUR,CURRENCY,F,F,F
CASH,5-COMPTES:53-CAISSE:531 Caisse en €:Caisse en devises,Caisse en devises,5314,Caisse en devises étrangères,,,EUR,CURRENCY,F,F,T
CASH,5-COMPTES:53-CAISSE:531 Caisse en €:Caisse en devises:Espèces CHF,Espèces CHF,53141,Espèces en Franc Suisse,,,CHF,CURRENCY,F,F,F
CASH,5-COMPTES:53-CAISSE:531 Caisse en €:Caisse en devises:Espèces USD,Espèces USD,53143,Espèces en Dollar US,,,USD,CURRENCY,F,F,F
CASH,5-COMPTES:53-CAISSE:531 Caisse en €:Caisse en devises:Espèces GBP,Espèces GBP,53145,Espèces en Livre Anglaise,,,GBP,CURRENCY,F,F,F
ASSET,5-COMPTES:53-CAISSE:532-Coffre,532-Coffre,532,Coffre (autres placements liquides),,,EUR,CURRENCY,F,F,T
BANK,5-COMPTES:58-VIREMENTS INTERNES,58-VIREMENTS INTERNES,58,Virements internes,,,EUR,CURRENCY,F,F,F
BANK,5-COMPTES:59-DÉPRÉCIATION,59-DÉPRÉCIATION,59,Dépréciation des comptes financiers,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES,6-CHARGES,6,COMPTES DE CHARGE,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:60-ACHATS,60-ACHATS,60,Achats - Dépenses courantes,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:60-ACHATS:601-Quotidien,601-Quotidien,601,Dépenses courantes – vie quotidienne,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:60-ACHATS:601-Quotidien:Alimentation,Alimentation,6011,Dépenses d'alimentation,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:60-ACHATS:601-Quotidien:Alimentation:Épicerie,Épicerie,60111,Épicerie,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:601-Quotidien:Alimentation:Restaurant,Restaurant,60112,Restaurant,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:601-Quotidien:Animaux Domestiques,Animaux Domestiques,6012,Dépenses d'animaux,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:60-ACHATS:601-Quotidien:Animaux Domestiques:Nourriture,Nourriture,60121,Nourriture des animaux,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:601-Quotidien:Animaux Domestiques:Soins,Soins,60122,Soins des animaux,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:601-Quotidien:Bureau,Bureau,6013,Dépenses de bureau,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:601-Quotidien:Habillement,Habillement,6014,Dépenses d'habillement,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:601-Quotidien:Maison,Maison,6015,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:601-Quotidien:Frais Professionnels,Frais Professionnels,6016,Frais non remboursés,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:601-Quotidien:Sécurité,Sécurité,6017,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:602-Véhicules,602-Véhicules,602,Dépenses – Véhicules personnels,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:60-ACHATS:602-Véhicules:Carburant,Carburant,6021,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:602-Véhicules:Entretien,Entretien,6022,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:602-Véhicules:Parking,Parking,6023,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:602-Véhicules:Péages,Péages,6024,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:604-Formation,604-Formation,604,Dépenses de formation,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:60-ACHATS:604-Formation:Éducation,Éducation,606,Dépenses d’éducation,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:605-Santé,605-Santé,605,Dépenses nettes – santé,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:606-Fluides,606-Fluides,606,Achats non stockés de matière et fournitures,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:60-ACHATS:606-Fluides:Eau,Eau,6061,"Eau chaude, eau froide",,,EUR,CURRENCY,F,F,F
