type,nom_complet,nom,code,description,couleur,notes,mnemo_produit,domaine_produit,cache,taxe,virtuel
INCOME,7-REVENUS:70-REVENUS:701-Salaires:Primes (impôt),Primes (impôt),7017,Primes imposables,,,EUR,CURRENCY,F,F,F
INCOME,7-REVENUS:70-REVENUS:702-Frais professionnels,702-Frais professionnels,702,Remboursements de frais professionnels,,,EUR,CURRENCY,F,F,F
INCOME,7-REVENUS:70-REVENUS:704-Autres revenus,704-Autres revenus,704,Revenus courants divers,,,EUR,CURRENCY,F,F,F
INCOME,7-REVENUS:70-REVENUS:705-Revenus fonciers,705-Revenus fonciers,705,Revenus fonciers,,,EUR,CURRENCY,F,F,F
INCOME,7-REVENUS:70-REVENUS:706-Remboursements Santé,706-Remboursements Santé,706,,,,EUR,CURRENCY,F,F,F
INCOME,7-REVENUS:70-REVENUS:707-Jeux,707-Jeux,707,Indemnités et produits des jeux,,,EUR,CURRENCY,F,F,F
INCOME,7-REVENUS:76-PRODUITS FINANCIERS,76-PRODUITS FINANCIERS,76,Produits financiers,,,EUR,CURRENCY,F,F,T
INCOME,7-REVENUS:76-PRODUITS FINANCIERS:761-Actifs pro,761-Actifs pro,761,Revenus d'actifs professionnels,,,EUR,CURRENCY,F,F,F
INCOME,7-REVENUS:76-PRODUITS FINANCIERS:764-Autres-mobiliers,764-Autres-mobiliers,764,Autres revenus mobiliers,,,EUR,CURRENCY,F,F,F
INCOME,7-REVENUS:77-EXCEPTIONNEL,77-EXCEPTIONNEL,77,Produits exceptionnels,,,EUR,CURRENCY,F,F,T
INCOME,7-REVENUS:77-EXCEPTIONNEL:775-Cessions,775-Cessions,775,Produits des cessions d'éléments d'actifs,,,EUR,CURRENCY,F,F,F
INCOME,7-REVENUS:77-EXCEPTIONNEL:777-Libéralités,777-Libéralités,777,"Donations, libéralités et successions",,,EUR,CURRENCY,F,F,F
INCOME,7-REVENUS:77-EXCEPTIONNEL:778-Autres produits exceptionnels,778-Autres produits exceptionnels,778,Autres produits exceptionnels,,,EUR,CURRENCY,F,F,T
INCOME,7-REVENUS:77-EXCEPTIONNEL:778-Autres produits exceptionnels:7782-Indemnités diverses,7782-Indemnités diverses,7782,Indemnités diverses,,,EUR,CURRENCY,F,F,F
INCOME,7-REVENUS:77-EXCEPTIONNEL:778-Autres produits exceptionnels:7788-Divers,7788-Divers,7788,Produits exceptionnels divers,,,EUR,CURRENCY,F,F,F
INCOME,7-REVENUS:78-REPRISES,78-REPRISES,78,Reprises sur provisions,,,EUR,CURRENCY,F,F,F
ASSET,8-SPÉCIAUX,8-SPÉCIAUX,8,COMPTES SPÉCIAUX,,,EUR,CURRENCY,F,F,F
