Type;Le nom complet du compte;Nom du compte;Code du compte;Description;Couleur du compte;Notes;Symbole;Espace de noms;Caché;Informations d'imposition;Virtuel
EQUITY;1 COMPTES DE CAPITAUX:13 Subventions d'investissement:139 Subventions d'investissement inscrites au compte de résultat;139 Subventions d'investissement inscrites au compte de résultat;139;;;;EUR;CURRENCY;F;F;F
EQUITY;1 COMPTES DE CAPITAUX:14 Provisions réglementées;14 Provisions réglementées;14;;;;EUR;CURRENCY;F;F;T
EQUITY;1 COMPTES DE CAPITAUX:14 Provisions réglementées:143 Provisions réglementées pour hausse de prix;143 Provisions réglementées pour hausse de prix;143;;;;EUR;CURRENCY;F;F;F
EQUITY;1 COMPTES DE CAPITAUX:14 Provisions réglementées:145 Amortissements dérogatoires;145 Amortissements dérogatoires;145;;;;EUR;CURRENCY;F;F;F
EQUITY;1 COMPTES DE CAPITAUX:14 Provisions réglementées:148 Autres provisions réglementées;148 Autres provisions réglementées;148;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:15 Provisions;15 Provisions;15;;;;EUR;CURRENCY;F;F;T
LIABILITY;1 COMPTES DE CAPITAUX:15 Provisions:151 Provisions pour risques;151 Provisions pour risques;151;;;;EUR;CURRENCY;F;F;T
LIABILITY;1 COMPTES DE CAPITAUX:15 Provisions:151 Provisions pour risques:1511 Provisions pour litiges;1511 Provisions pour litiges;1511;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:15 Provisions:151 Provisions pour risques:1512 Provisions pour garanties données aux clients;1512 Provisions pour garanties données aux clients;1512;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:15 Provisions:151 Provisions pour risques:1514 Provisions pour amendes et pénalités;1514 Provisions pour amendes et pénalités;1514;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:15 Provisions:151 Provisions pour risques:1515 Provisions pour pertes de change;1515 Provisions pour pertes de change;1515;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:15 Provisions:151 Provisions pour risques:1516 Provisions pour pertes sur contrats;1516 Provisions pour pertes sur contrats;1516;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:15 Provisions:151 Provisions pour risques:1518 Autres provisions pour risques;1518 Autres provisions pour risques;1518;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:15 Provisions:152 Provisions pour charges;152 Provisions pour charges;152;;;;EUR;CURRENCY;F;F;T
LIABILITY;1 COMPTES DE CAPITAUX:15 Provisions:152 Provisions pour charges:1521 Provisions pour pensions et obligations similaires;1521 Provisions pour pensions et obligations similaires;1521;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:15 Provisions:152 Provisions pour charges:1522 Provisions pour restructurations;1522 Provisions pour restructurations;1522;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:15 Provisions:152 Provisions pour charges:1523 Provisions pour impôts;1523 Provisions pour impôts;1523;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:15 Provisions:152 Provisions pour charges:1524 Provisions pour renouvellement des immobilisations - entreprises concessionnaires;1524 Provisions pour renouvellement des immobilisations - entreprises concessionnaires;1524;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:15 Provisions:152 Provisions pour charges:1525 Provisions pour gros entretien ou grandes révisions;1525 Provisions pour gros entretien ou grandes révisions;1525;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:15 Provisions:152 Provisions pour charges:1526 Provisions pour remise en état;1526 Provisions pour remise en état;1526;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:15 Provisions:152 Provisions pour charges:1527 Autres provisions pour charges;1527 Autres provisions pour charges;1527;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées;16 Emprunts et dettes assimilées;16;;;;EUR;CURRENCY;F;F;T
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:161 Emprunts obligataires convertibles;161 Emprunts obligataires convertibles;161;;;;EUR;CURRENCY;F;F;T
